onset,muted,offset
68.34068027,Y,68.49886621
68.61931973,Y,68.78911565
68.88489796,Y,69.05034014
69.18530612,Y,69.34784581
69.4552381,Y,69.64535147
69.74258503,Y,69.92834467
69.99945578,Y,70.17505669
70.28680272,Y,70.47981859
70.5785034,Y,70.76281179
70.85714286,Y,71.01678005
71.12707483,Y,71.30702948
71.38394558,Y,71.53197279
71.66258503,Y,71.85124717
71.95863946,Y,72.15600907
72.22857143,Y,72.4244898
72.50721088,Y,72.74376417
73.04707483,Y,73.24444444
73.34312925,Y,73.51292517
73.61741497,Y,73.77414966
73.90040816,Y,74.09342404
74.18340136,Y,74.35464853
74.45768708,Y,74.63038549
74.73197279,Y,74.97142857
75.28054422,Y,75.45034014
75.55918367,Y,75.71882086
75.85088435,Y,76.02358277
76.13387755,Y,76.29206349
76.42122449,Y,76.60408163
76.66068027,Y,76.82902494
76.95673469,Y,77.11201814
77.22666667,Y,77.3877551
77.51836735,Y,77.6707483
77.7752381,Y,77.9537415
78.06693878,Y,78.22947846
78.33251701,Y,78.51247166
78.63292517,Y,78.80997732
78.91591837,Y,79.06394558
79.1814966,Y,79.36145125
79.45578231,Y,79.62993197
79.75619048,Y,79.92018141
80.01306122,Y,80.16689342
80.29170068,Y,80.46439909
80.54421769,Y,80.73287982
80.84462585,Y,81.03038549
81.1014966,Y,81.26984127
81.39755102,Y,81.56734694
81.67619048,Y,81.85034014
81.9722449,Y,82.14058957
82.24217687,Y,82.39455782
82.50340136,Y,82.69206349
82.7907483,Y,82.94603175
83.06503401,Y,83.23628118
83.33061225,Y,83.51201814
83.61795918,Y,83.79501134
83.90530612,Y,84.05623583
84.17088435,Y,84.33922903
84.44081633,Y,84.60045352
84.72816327,Y,84.89795918
84.99809524,Y,85.17369615
85.27673469,Y,85.44943311
85.57278912,Y,85.72517007
85.83836735,Y,86.00090703
86.11265306,Y,86.29115646
86.4,Y,86.56689342
86.67428571,Y,86.82086168
86.93986395,Y,87.11111111
87.22721088,Y,87.39410431
87.51020408,Y,87.69160998
87.78884354,Y,87.95283447
88.06748299,Y,88.22857143
88.35047619,Y,88.49705215
88.64217687,Y,88.8090703
88.90340136,Y,89.07029479
89.16027211,Y,89.36780045
89.43020408,Y,89.62902494
89.72190476,Y,89.91927438
90.0092517,Y,90.1659864
90.28353742,Y,90.45623583
90.55346939,Y,90.73197279
90.84952381,Y,91.02947846
91.11510204,Y,91.29070295
91.40244898,Y,91.58095238
91.68108844,Y,91.86394558
91.95102041,Y,92.13968254
92.22530612,Y,92.40816327
92.50829932,Y,92.66213152
92.79564626,Y,92.9814059
93.0829932,Y,93.2368254
93.33986395,Y,93.51111111
93.60979592,Y,93.80063492
93.87972789,Y,94.06476191
94.17142857,Y,94.34920635
94.44136054,Y,94.61333333
94.73741497,Y,94.89777778
95.00734694,Y,95.18730159
95.29904762,Y,95.46666667
95.56027211,Y,95.74603175
95.82585034,Y,95.98476191
96.09142857,Y,96.71111111
