onset,muted,offset,,
60.24126984,Y,60.39873016,,
60.44444444,Y,60.64507937,,
60.71292517,Y,60.87365079,,
61.15555556,Y,61.35111111,,
61.38049887,Y,61.58730159,,
61.64172336,Y,61.83873016,,
62.11337869,Y,62.20698413,,
62.34557823,Y,62.52444444,,
62.57777778,Y,62.9968254,,
63.04217687,Y,63.1415873,,
63.24535147,Y,63.43111111,,
63.49206349,Y,63.89587302,,
63.97823129,Y,64.15238095,,
64.21768708,Y,64.41904762,,
64.4861678,Y,64.67047619,,
64.92154195,Y,65.10476191,,
65.1537415,Y,65.34857143,,
65.43673469,Y,65.57714286,,
65.82857143,Y,66.04952381,,
66.10430839,Y,66.29587302,,
66.36553288,Y,66.49142857,,
66.78639456,Y,66.9968254,,
67.03310658,Y,67.22539683,,
67.28707483,Y,67.43619048,,
67.72244898,Y,67.66222222,,
67.98367347,Y,67.91365079,,
68.21587302,Y,68.16,,
68.68752835,Y,68.39111111,,
68.92698413,Y,68.86349206,,
69.18820862,Y,69.12253968,,
69.61632653,Y,69.35365079,,
69.84852608,Y,69.77777778,,
70.0952381,Y,70.0368254,,
70.55238095,Y,70.27301587,,
70.79183674,Y,70.74285714,,
71.05306122,Y,70.99428571,,
71.4739229,Y,71.19492064,,
71.74965986,Y,71.68253968,,
71.99637188,Y,71.93142857,,
72.43900227,Y,72.17269841,,
72.64943311,Y,72.63238095,,
72.9324263,Y,72.86095238,,
73.38231293,Y,73.09968254,,
73.60725624,Y,73.54920635,,
73.8829932,Y,73.8031746,,
74.31111111,Y,74.01142857,,
74.54331066,Y,74.49142857,,
74.79727891,Y,74.73269841,,
75.24716553,Y,74.96888889,,
75.47936508,Y,75.42349206,,
75.74784581,Y,75.66222222,,
76.17596372,Y,75.88571429,,
76.4154195,Y,76.34031746,,
76.64761905,Y,76.56380952,,
76.9015873,Y,76.82031746,,
77.10476191,Y,77.20888889,,
77.35147392,Y,77.55174603,,
77.60544218,Y,77.98349206,,
78.04081633,Y,78.13333333,,
78.27301587,Y,78.48380952,,
78.5414966,Y,78.93333333,,
79.01315193,Y,79.16952381,,
79.21632653,Y,79.42095238,,
79.47755102,Y,79.65460318,,
79.7170068,Y,79.89079365,,
79.94195011,Y,80.10920635,,
80.15963719,Y,80.33777778,,
80.39909297,Y,80.55365079,,
80.61678005,Y,80.78984127,,
80.84897959,Y,81.02857143,,
81.08117914,Y,81.25968254,,
81.32789116,Y,81.51873016,,
81.56734694,Y,81.73968254,,
81.80680272,Y,81.96571429,,
82.0244898,Y,82.20190476,,
82.26394558,Y,82.45079365,,
82.49614513,Y,82.68444444,,
82.72108844,Y,82.9231746,,
82.97505669,Y,83.16698413,,
83.25079365,Y,83.40063492,,
83.45396825,Y,83.63428571,,
83.69342404,Y,83.86539683,,
83.91836735,Y,84.09142857,,
84.14331066,Y,84.30984127,,
84.36825397,Y,84.56634921,,
84.60045352,Y,84.79238095,,
84.82539683,Y,84.99301587,,
85.07210884,Y,85.45015873,,
85.55102041,Y,85.72698413,,
85.79773243,Y,85.98095238,,
86.04444444,Y,86.43555556,,
86.47981859,Y,86.65904762,,
86.71927438,Y,86.89777778,,
86.97324263,Y,87.11873016,,
87.19092971,Y,87.35492064,,
87.43038549,Y,87.60888889,,
87.66258503,Y,87.84,,
87.89478458,Y,88.08888889,,
88.1414966,Y,88.29714286,,
88.35918367,Y,88.53333333,,
88.59138322,Y,88.77206349,,
88.84535147,Y,89.02095238,,
89.07755102,Y,89.23936508,,
89.33151927,Y,89.4831746,,
89.53469388,Y,89.7168254,,
89.77705215,Y,89.94031746,,
90.00453515,Y,90.19174603,,
90.24653061,Y,90.42793651,,
90.48272109,Y,90.66412698,,
90.72653061,Y,90.88,,
90.94857143,Y,91.11365079,,
91.19020408,Y,91.36253968,,
91.41986395,Y,91.59873016,,
91.66585034,Y,91.82222222,,
91.90204082,Y,92.05587302,,
92.1262585,Y,92.25396825,,
92.3537415,Y,92.4952381,,
92.60081633,Y,93.05650794,,
93.10911565,Y,93.26476191,,
93.37360544,Y,93.49587302,,
93.69360544,Y,94.21968254,,
94.31401361,Y,94.66920635,,
94.68843537,Y,96.50285714,,
