onset,muted,offset,
73.76979592,Y,73.92979592,
74.03102041,Y,74.19755102,
74.24580499,Y,74.40653061,
74.46349206,Y,74.88,
75.14195011,Y,75.35020408,
75.59546485,Y,75.87591837,
76.02358277,Y,76.2155102,
76.25578231,Y,76.6955102,
77.40734694,Y,77.58367347,
77.62285714,Y,77.80571429,
77.87755102,Y,78.02122449,
78.08653061,Y,78.47183674,
78.76571429,Y,78.94204082,
78.96816327,Y,79.13142857,
79.19673469,Y,79.34367347,
79.42204082,Y,79.57877551,
79.64734694,Y,79.79102041,
79.87591837,Y,80.30040816,
80.99591837,Y,81.13306122,
81.24408163,Y,81.41061225,
81.47918367,Y,81.61632653,
81.68489796,Y,82.08,
82.35755102,Y,82.55346939,
82.81469388,Y,83.08680272,
83.23918367,Y,83.41333333,
83.49061225,Y,83.89659864,
84.63020408,Y,84.80217687,
84.83918367,Y,84.99809524,
85.10040816,Y,85.22884354,
85.31265306,Y,85.65115646,
85.97986395,Y,86.14312925,
86.19102041,Y,86.32888889,
86.41741497,Y,86.56108844,
86.63945578,Y,86.80199547,
86.86585034,Y,87.01387755,
87.09006803,Y,87.53632653,
88.20027211,Y,88.32870748,
88.45714286,Y,88.64217687,
88.68353742,Y,88.81922903,
88.89687075,Y,89.28653061,
89.5477551,Y,89.77414966,
89.99836735,Y,90.16888889,
90.24435374,Y,90.40689342,
90.47727891,Y,90.63619048,
90.71455782,Y,91.13251701,
91.3785034,Y,91.71591837,
91.81170068,Y,91.95102041,
92.05986395,Y,92.2122449,
92.27537415,Y,92.43863946,
92.51047619,Y,92.87981859,
93.18095238,Y,93.43419501,
93.62068027,Y,93.83111111,
93.87174603,Y,94.21714286,
94.3107483,Y,94.73160998,
94.97251701,Y,95.22938776,
95.42530612,Y,95.66621315,
95.86503401,Y,96.02902494,
96.1168254,Y,96.52244898,
96.76698413,Y,97.01950113,
97.22920635,Y,97.38594104,
97.46793651,Y,97.82494331,
97.89968254,Y,98.31473923,
98.59555556,Y,98.9569161,
99.04761905,Y,99.17460318,
99.27111111,Y,99.41768708,
99.49460318,Y,99.66077098,
99.7384127,Y,100.1106576,
100.368254,Y,100.6331066,
100.855873,Y,101.0321995,
101.0793651,Y,101.4058957,
101.5161905,Y,101.871746,
102.1968254,Y,102.4304762,
102.6438095,Y,102.928254,
103.0704762,Y,103.2126984,
103.3447619,Y,103.6698413,
103.9847619,Y,104.0892517,
104.2387302,Y,104.6204082,
104.8888889,Y,104.9861224,
105.1428571,Y,105.5695238,
105.8031746,Y,106.004898,
106.2704762,Y,106.475102,
106.7174603,Y,106.8582313,
106.9511111,Y,107.3719728,
107.6215873,Y,107.7986395,
108.0787302,Y,108.2862585,
108.5257143,Y,108.6693878,
108.7492063,Y,109.1918367,
109.8768254,Y,110.0277551,
110.0952381,Y,110.2715646,
110.3419501,Y,110.4718367,
110.5632653,Y,110.9333333,
111.2163265,Y,111.4122449,
111.4412698,Y,111.5863946,
111.6662132,Y,111.7866667,
111.8947846,Y,112.0478912,
112.1197279,Y,112.2742857,
112.3482993,Y,112.7880272,
113.4657596,Y,113.5717007,
113.7197279,Y,113.8677551,
113.9482993,Y,114.1028571,
114.1587302,Y,114.5469388,
114.8335601,Y,115.0171429,
115.2907029,Y,115.5395918,
115.7405896,Y,115.8878912,
115.9510204,Y,116.3580952,
117.0938776,Y,117.2462585,
117.3188209,Y,117.490068,
117.5546485,Y,117.7121088,
117.7723356,Y,118.1431293,
118.4435374,Y,118.6220408,
118.6590476,Y,118.8136054,
118.8952381,Y,119.0356463,
119.1085714,Y,119.2663946,
119.3346032,Y,119.4710204,
119.5606349,Y,119.9934694,
