Onset,Offset
0.11,0.455
0.455,0.795
0.795,1.135
1.135,1.475
1.475,1.815
1.815,2.155
2.155,2.5
2.5,2.84
2.84,3.18
3.18,3.52
3.52,3.86
3.86,4.2
4.2,4.545
4.545,4.885
4.885,5.225
5.225,5.565
5.565,5.92
5.92,6.25
6.25,6.59
6.59,6.93
6.93,7.275
7.275,7.615
7.615,7.955
7.955,8.295
8.295,8.635
8.635,8.99
8.99,9.32
9.32,9.66
9.66,10
10,10.34
10.34,10.68
10.68,11.02
11.02,11.365
11.365,11.705
11.705,12.045
12.045,12.39
12.39,12.725
12.725,13.07
13.07,13.41
13.41,13.755
13.755,14.095
14.095,14.43
14.43,14.775
14.775,15.12
15.12,15.455
15.455,15.795
15.795,16.145
16.145,16.48
16.48,16.825
16.825,17.165
17.165,17.5
17.5,17.84
17.84,18.18
18.18,18.52
18.52,18.86
18.86,19.2
19.2,19.545
19.545,19.885
19.885,20.225
20.225,20.565
20.565,20.905
20.905,21.25
21.25,21.59
21.59,21.93
21.93,22.27
22.27,22.61
22.61,22.95
22.95,23.295
23.295,23.635
23.635,23.975
23.975,24.315
24.315,24.655
24.655,25
25,25.34
25.34,25.68
25.68,26.02
26.02,26.36
26.36,26.7
26.7,27.045
27.045,27.385
27.385,27.74
27.74,28.07
28.07,28.41
28.41,28.75
28.75,29.09
29.09,29.43
29.43,29.775
29.775,30.115
30.115,30.455
30.455,30.795
30.795,31.135
31.135,31.49
31.49,31.82
31.82,32.16
32.16,32.5
32.5,32.84
32.84,33.185
33.185,33.525
33.525,33.865
33.865,34.205
34.205,34.545
34.545,34.89
34.89,35.225
35.225,35.57
35.57,35.91
35.91,36.25
36.25,36.595
36.595,36.93
36.93,37.275
37.275,37.62
37.62,37.955
37.955,38.3
38.3,38.64
38.64,38.975
38.975,39.32
39.32,39.66
39.66,40
40,40.34
40.34,40.68
40.68,41.02
41.02,41.36
41.36,41.7
41.7,42.045
42.045,42.385
42.385,42.725
42.725,43.065
43.065,43.405
43.405,43.75
43.75,44.105
44.105,44.43
44.43,44.775
44.775,45.115
45.115,45.455
45.455,45.795
45.795,46.135
46.135,46.49
46.49,46.82
46.82,47.16
47.16,47.5
47.5,47.84
47.84,48.18
48.18,48.525
48.525,48.865
48.865,49.205
49.205,49.545
49.545,49.885
49.885,50.23
50.23,50.57
50.57,50.91
50.91,51.25
51.25,51.595
51.595,51.93
51.93,52.275
52.275,52.62
52.62,52.955
52.955,53.295
53.295,53.64
53.64,53.975
53.975,54.32
54.32,54.66
54.66,55.005
55.005,55.34
55.34,55.675
55.675,56.02
56.02,56.36
56.36,56.7
56.7,57.045
57.045,57.385
57.385,57.725
57.725,58.065
58.065,58.405
58.405,58.75
58.75,59.09
59.09,59.43
59.43,59.77
59.77,60.11
60.11,60.465
60.465,60.795
60.795,61.135
61.135,61.49
61.49,61.82
61.82,62.16
62.16,62.5
62.5,62.84
62.84,63.18
63.18,63.525
63.525,63.865
63.865,64.205
64.205,64.545
64.545,64.885
64.885,65.24
65.24,65.565
65.565,65.91
65.91,66.25
66.25,66.59
66.59,66.935
66.935,67.275
67.275,67.62
67.62,67.955
67.955,68.295
68.295,68.64
68.64,68.98
68.98,69.32
69.32,69.66
69.66,70
70,70.345
70.345,70.68
70.68,71.025
71.025,71.365
71.365,71.7
71.7,72.05
72.05,72.385
72.385,72.725
72.725,73.065
73.065,73.405
73.405,73.75
73.75,74.09
74.09,74.43
74.43,74.77
74.77,75.11
75.11,75.45
75.45,75.795
75.795,76.135
76.135,76.475
