Onset,Offset
0.035,0.725623583
1.055,1.625396825
1.735,1.9969161
2.075,2.577414966
2.755,3.424943311
3.78,4.330521542
4.465,4.73106576
4.805,5.057596372
5.145,5.398639456
5.485,6.182312925
6.51,7.038548753
7.19,7.473922902
7.53,8.003628118
8.21,8.881632653
9.235,9.77414966
9.92,10.184126984
10.26,10.499047619
10.6,10.844444444
10.94,11.697777778
11.965,12.571428571
12.645,12.916825397
12.985,13.456689342
13.665,14.360090703
14.69,15.223582766
15.375,15.637188209
15.715,15.989115646
16.055,16.319274376
16.395,17.422222222
