Onset,Offset
0.01,0.34
0.34,0.68
0.68,1.02
1.02,1.36
1.36,1.705
1.705,2.045
2.045,2.385
2.385,2.725
2.725,3.065
3.065,3.405
3.405,3.75
3.75,4.09
4.09,4.43
4.43,4.77
4.77,5.11
5.11,5.455
5.455,5.81
5.81,6.135
6.135,6.48
6.48,6.82
6.82,7.16
7.16,7.5
7.5,7.84
7.84,8.195
8.195,8.525
8.525,8.865
8.865,9.205
9.205,9.545
9.545,9.885
9.885,10.23
10.23,10.57
10.57,10.91
10.91,11.25
11.25,11.59
11.59,11.935
11.935,12.275
12.275,12.62
12.62,12.955
12.955,13.3
13.3,13.64
13.64,13.98
13.98,14.325
14.325,14.66
14.66,15
15,15.35
15.35,15.68
15.68,16.025
16.025,16.375
16.375,16.7
16.7,17.045
17.045,17.385
17.385,17.725
17.725,18.065
18.065,18.405
18.405,18.75
18.75,19.09
19.09,19.43
19.43,19.77
19.77,20.11
20.11,20.455
20.455,20.795
20.795,21.135
21.135,21.475
21.475,21.815
21.815,22.155
22.155,22.5
22.5,22.84
22.84,23.18
23.18,23.52
23.52,23.86
23.86,24.205
24.205,24.545
24.545,24.885
24.885,25.225
25.225,25.565
25.565,25.905
25.905,26.25
26.25,26.59
26.59,26.93
26.93,27.27
27.27,27.615
27.615,27.955
27.955,28.295
28.295,28.635
28.635,28.98
28.98,29.32
29.32,29.66
29.66,30
30,30.34
30.34,30.695
30.695,31.025
31.025,31.365
31.365,31.705
31.705,32.045
32.045,32.385
32.385,32.725
32.725,33.07
33.07,33.41
33.41,33.75
33.75,34.095
34.095,34.43
34.43,34.775
34.775,35.12
35.12,35.455
35.455,35.8
35.8,36.14
36.14,36.48
36.48,36.825
36.825,37.16
37.16,37.5
37.5,37.85
37.85,38.19
38.19,38.53
38.53,38.865
38.865,39.21
39.21,39.545
39.545,39.885
39.885,40.225
40.225,40.565
40.565,40.905
40.905,41.25
41.25,41.59
41.59,41.93
41.93,42.27
42.27,42.61
42.61,42.955
42.955,43.295
43.295,43.635
43.635,43.99
43.99,44.32
44.32,44.66
44.66,45
45,45.34
45.34,45.695
45.695,46.025
46.025,46.365
46.365,46.705
46.705,47.045
47.045,47.385
47.385,47.73
47.73,48.07
48.07,48.41
48.41,48.75
48.75,49.09
49.09,49.435
49.435,49.775
49.775,50.115
50.115,50.455
50.455,50.8
50.8,51.14
51.14,51.48
51.48,51.825
51.825,52.16
52.16,52.505
52.505,52.85
52.85,53.18
53.18,53.525
53.525,53.87
53.87,54.205
54.205,54.555
54.555,54.89
54.89,55.23
55.23,55.57
55.57,55.91
55.91,56.25
56.25,56.59
56.59,56.93
56.93,57.27
57.27,57.61
57.61,57.955
57.955,58.295
58.295,58.635
58.635,58.975
58.975,59.315
59.315,59.655
59.655,59.965
59.965,60.275
