onset dev,offset dev
0.005804988251700394,-0.04643990894104366
3.560085559684012e-10,-0.2365532875124723
-0.015963718351474476,-0.04208616776417262
-0.018866213571428148,-0.042086168278911984
-0.007256235791382792,-0.05804988644217701
-0.007256236306123043,-0.02902494333560046
0.011609977503401758,1.496598400763105e-10
-0.005804988687074797,-0.024671202040814855
0.011609977473923117,-0.03482993223129238
-0.00145124739228919,-0.034829933378684785
-0.004353741185941118,-0.03628118154195015
-1.4058958441864888e-09,-0.052244899705215175
-0.001451249569161206,-0.04353741857142879
-0.017414967732426234,-0.11609977573696106
-0.008707486598639846,-0.05804988317460413
-2.494330075819562e-09,-0.04789115739228933
3.4467113607661304e-09,-0.04934239961451148
-0.014512477097506249,-0.018866218480726005
-0.014512467641722537,-0.049342406643992476
-0.0072562411564636164,-0.026122445510203818
-0.00290249734693937,-0.03337868902494279
-0.0029024908616790412,-0.02612245253968304
-0.010158734376416234,-0.04063492605442143
0.008707479433105902,-0.020317464625851045
-0.01741497140589665,-0.042086171655327576
-0.008707487301588657,0.15963718666666793
-0.007256239682536858,-0.053696149523808856
-0.007256236712017028,-0.021768703741496864
-0.00725624022675575,0.4484353775510215
0.001451250907031465,-0.02176870482993465
2.1995454346779297e-09,0.22204081546485455
-0.01015872750567226,-0.033378689727893374
-0.0130612242403636,-0.029024939433107022
-0.008707483945578076,-0.04353741294784541
-0.0058049847845822455,-0.059501131111112215
-0.008707480975058246,-0.055147397301585244
-0.01306122181405911,-0.024671206167798942
-0.00870748800453569,-0.043537417006803025
-0.013061228843536554,0.19446712131519206
-0.008707485034012308,-0.04498866219954678
-0.0029024967120179213,-0.03918367077097784
-0.005804989931974092,-0.0507936516099754
-0.004353738798187123,-0.03918367780045173
-0.015963719637188234,-0.05950113328798068
-0.004353745827664568,-0.034829927505668934
-0.0014512466666651846,-0.039183678344670625
4.46712178359121e-09,-0.02321995721088399
-0.00435374637188346,-0.027573698049888407
-2.5623592136980733e-09,0.005804989138322725
-0.004353743401360077,0.19156462253968343
-0.002902492267573109,-0.0725623602721086
-0.010158732811788695,-0.03047618870748181
-0.014512473650793112,-0.05079365419500803
-0.018866211383219422,-0.04643991038548734
-0.015963722222217314,-0.07111111319727925
-1.088434231633073e-09,-0.055147392063489065
-0.013061226575963758,-0.044988662902493814
-0.008707482766435959,-0.055147389092969235
-0.010158730929703097,-0.03337868963718904
-0.013061224149659267,-0.05950113047618899
-0.010158734988664264,-0.055147396666669124
-0.013061221179139437,-0.00725623637188022
-0.0014512508843544936,-0.03337868721088455
0.004353740952382168,-0.04063492072562269
0.0014512447619061675,-0.04353741691609869
0.005804988571430414,-0.027573695782312058
-0.008707484943311528,-0.030476191972788058
-0.004353741133787281,-0.034829932811792474
-0.007256237324263282,-0.03918367365079334
-0.011609978163264145,-0.04643990716553503
-0.004353741678006173,-0.053696140680273174
-0.011609975192744315,-0.04208616687074951
