Student,precision,recall,f_measure_value,Onset ABS Mean,Onset Mean,Onset Std,Duration ABS Mean,Duration Mean,Duration Std,onsetMark, DurationMark, TF 1 Mark , TF 2 Mark ,Sound Quality Mark, finalMark
0,0.96,0.95,0.955,0.008,-0.006,0.009,0.008,-0.006,0.009,100,100,100,100,100,5
1,0.337,0.347,0.341,0.01,-0.006,0.012,0.072,-0.065,0.162,72.0,79.2,79.2,79.2,79.2,3.15
2,0.147,0.149,0.148,0.01,-0.007,0.012,0.052,-0.014,0.078,79.2,90.0,79.2,79.2,79.2,3.6
3,0.298,0.277,0.287,0.009,-0.007,0.011,0.056,-0.012,0.119,79.2,79.2,90.0,79.2,79.2,3.6
4,0.019,0.02,0.019,0.007,0.007,0.007,0.064,-0.064,0.075,56.7,56.7,72.0,72.0,72.0,2.25
5,0.531,0.505,0.518,0.01,-0.0,0.012,0.079,-0.038,0.166,72.0,79.2,79.2,79.2,79.2,3.6
6,0.029,0.03,0.029,0.012,-0.002,0.014,0.068,-0.068,0.07,72.0,79.2,79.2,79.2,79.2,3.6
7,0.029,0.03,0.03,0.01,-0.01,0.011,0.109,0.022,0.127,79.2,79.2,79.2,90.0,79.2,3.6
8,0.269,0.287,0.278,0.01,-0.008,0.012,0.044,-0.037,0.106,90.0,90.0,90.0,90.0,79.2,4.5
