 onsets, offsets
0.01,0.135
0.135,3.725
3.725,3.965
3.965,4.435
4.435,5.36
5.36,5.605
5.605,6.07
6.07,6.615
6.615,6.82
6.82,7.05
7.05,7.29
7.29,7.515
7.515,7.765
7.765,8.015
8.015,8.255
8.255,9.14
9.14,9.38
9.38,9.875
9.875,10.53
10.53,10.78
10.78,11.065
11.065,11.28
11.28,11.98
11.98,12.93
12.93,13.125
13.125,13.635
13.635,14.31
14.31,14.51
14.51,14.76
14.76,14.985
14.985,15.235
15.235,15.465
15.465,15.695
15.695,16.3
16.3,16.44
16.44,16.905
16.905,17.14
17.14,17.36
17.36,17.585
17.585,17.82
17.82,18.265
18.265,18.5
18.5,18.73
18.73,19.275
19.275,19.48
19.48,19.695
19.695,19.9
19.9,20.14
20.14,20.37
20.37,20.62
20.62,20.865
20.865,21.075
21.075,21.32
21.32,21.565
21.565,21.79
21.79,22.045
22.045,22.27
22.27,22.49
22.49,22.71
22.71,22.925
22.925,23.2
23.2,23.415
23.415,23.645
23.645,23.87
23.87,24.13
24.13,24.36
24.36,24.62
24.62,24.84
24.84,25.05
25.05,25.3
25.3,25.755
25.755,26.02
26.02,26.255
26.255,26.715
26.715,26.96
26.96,27.165
27.165,27.3
27.3,27.405
27.405,27.63
27.63,27.86
27.86,28.09
28.09,28.305
28.305,28.535
28.535,28.815
28.815,29.035
29.035,29.265
29.265,29.52
29.52,29.745
29.745,29.965
29.965,30.21
30.21,30.435
30.435,30.675
30.675,30.92
30.92,31.155
31.155,31.385
31.385,31.635
31.635,31.85
31.85,32.105
32.105,32.305
32.305,32.58
32.58,32.85
32.85,33.24
33.24,33.52
33.52,33.73
33.73,34.175
34.175,34.415
