 onsets, offsets
0.01,0.195
0.195,3.775
3.775,4.405
4.405,4.89
4.89,5.35
5.35,5.56
5.56,6.025
6.025,6.125
6.125,6.85
6.85,7.23
7.23,7.47
7.47,7.71
7.71,7.93
7.93,8.18
8.18,8.94
8.94,9.11
9.11,9.38
9.38,9.815
9.815,10.18
10.18,10.495
10.495,10.735
10.735,10.975
10.975,11.195
11.195,11.865
11.865,12.7
12.7,12.86
12.86,13.085
13.085,13.565
13.565,14.225
14.225,14.45
14.45,14.695
14.695,14.9
14.9,15.165
15.165,15.39
15.39,15.645
15.645,16.465
16.465,17.04
17.04,17.285
17.285,17.515
17.515,18.15
18.15,18.42
18.42,18.645
18.645,19.155
19.155,19.395
19.395,19.61
19.61,19.82
19.82,20.05
20.05,20.28
20.28,20.505
20.505,20.77
20.77,21.015
21.015,21.225
21.225,21.49
21.49,21.7
21.7,21.945
21.945,22.185
22.185,22.405
22.405,22.63
22.63,22.835
22.835,23.12
23.12,23.235
23.235,23.57
23.57,23.775
23.775,24.035
24.035,24.46
24.46,24.69
24.69,24.94
24.94,25.19
25.19,25.365
25.365,25.655
25.655,25.925
25.925,26.175
26.175,26.635
26.635,26.87
26.87,27.09
27.09,27.325
27.325,27.575
27.575,27.795
27.795,28.05
28.05,28.25
28.25,28.5
28.5,28.72
28.72,28.965
28.965,29.17
29.17,29.29
29.29,29.415
29.415,29.55
29.55,29.68
29.68,29.885
29.885,30.085
30.085,30.29
30.29,30.565
30.565,30.775
30.775,31.045
31.045,31.26
31.26,31.505
31.505,31.715
31.715,31.99
31.99,32.185
32.185,32.41
32.41,32.64
32.64,33.14
33.14,33.405
33.405,34.035
34.035,34.305
