 onsets, offsets
0.01,0.145
0.145,0.705
0.705,1.165
1.165,1.63
1.63,2.1
2.1,2.57
2.57,3.04
3.04,3.205
3.205,3.44
3.44,3.92
3.92,4.04
4.04,4.16
4.16,4.44
4.44,4.815
4.815,5.12
5.12,5.365
5.365,5.645
5.645,6.065
6.065,6.795
6.795,7.025
7.025,7.275
7.275,7.485
7.485,7.73
7.73,7.94
7.94,8.21
8.21,8.715
8.715,9.135
9.135,9.385
9.385,9.84
9.84,10.525
10.525,10.74
10.74,10.975
10.975,11.49
11.49,11.595
11.595,11.93
11.93,12.88
12.88,13.115
13.115,13.595
13.595,14.045
14.045,14.275
14.275,14.485
14.485,14.715
14.715,15.18
15.18,15.47
15.47,15.67
15.67,16.6
16.6,16.855
16.855,17.1
17.1,17.33
17.33,17.575
17.575,17.815
17.815,18.265
18.265,18.475
18.475,18.735
18.735,19.205
19.205,19.485
19.485,19.72
19.72,19.905
19.905,20.08
20.08,20.305
20.305,20.565
20.565,20.84
20.84,21.05
21.05,21.315
21.315,21.53
21.53,21.79
21.79,22.005
22.005,22.235
22.235,22.475
22.475,22.705
22.705,22.915
22.915,23.135
23.135,23.39
23.39,23.635
23.635,23.9
23.9,24.195
24.195,24.34
24.34,24.555
24.555,24.825
24.825,25.01
25.01,25.32
25.32,25.74
25.74,26.015
26.015,26.345
26.345,26.72
26.72,26.945
26.945,27.15
27.15,27.405
27.405,27.63
27.63,27.86
27.86,28.125
28.125,28.345
28.345,28.59
28.59,28.81
28.81,29.05
29.05,29.265
29.265,29.51
29.51,29.77
29.77,29.96
29.96,30.2
30.2,30.45
30.45,30.68
30.68,30.915
30.915,31.165
31.165,31.4
31.4,31.625
31.625,31.885
31.885,32.11
32.11,32.295
32.295,32.54
32.54,32.695
32.695,32.835
32.835,33.21
33.21,33.47
33.47,33.695
33.695,34.21
34.21,34.43
