 onsets, offsets
0.045,0.15
0.15,0.895
0.895,15.315
15.315,17.45
17.45,17.805
17.805,19.925
19.925,20.275
20.275,22.365
22.365,22.75
22.75,25.195
25.195,27.27
27.27,27.625
27.625,29.73
29.73,30.1
30.1,32.18
32.18,32.525
32.525,34.975
34.975,37.345
37.345,39.855
39.855,42.255
42.255,44.71
44.71,45.665
45.665,46.505
46.505,46.875
46.875,47.18
47.18,47.505
47.505,47.82
47.82,48.13
48.13,48.4
48.4,48.705
48.705,49.075
49.075,49.365
49.365,49.675
49.675,50.525
50.525,51.475
51.475,51.805
51.805,52.09
52.09,52.7
52.7,53.005
53.005,53.3
53.3,53.605
53.605,53.945
53.945,54.545
54.545,55.435
55.435,56.32
56.32,56.655
56.655,57.005
57.005,57.305
57.305,57.63
57.63,57.92
57.92,58.215
58.215,58.53
58.53,58.845
58.845,59.125
59.125,59.47
59.47,60.325
60.325,61.205
61.205,61.61
61.61,61.895
61.895,62.205
62.205,62.5
62.5,62.85
62.85,63.125
63.125,63.44
63.44,63.745
63.745,63.995
63.995,66.425
66.425,66.76
66.76,69.195
69.195,71.375
71.375,71.695
71.695,73.81
73.81,74.2
74.2,76.23
76.23,76.585
76.585,78.98
78.98,79.34
79.34,79.68
79.68,79.995
79.995,80.295
80.295,80.54
80.54,80.885
80.885,81.145
81.145,81.605
81.605,81.885
81.885,82.15
82.15,82.41
82.41,82.66
82.66,82.995
82.995,83.29
83.29,83.695
83.695,83.925
