 onsets, offsets
0.04,0.155
0.155,15.295
15.295,17.445
17.445,17.755
17.755,19.895
19.895,20.18
20.18,22.365
22.365,25.11
25.11,27.25
27.25,27.56
27.56,29.685
29.685,30.025
30.025,32.145
32.145,32.47
32.47,34.885
34.885,37.345
37.345,39.79
39.79,42.245
42.245,44.7
44.7,45.605
45.605,46.555
46.555,46.86
46.86,47.16
47.16,47.465
47.465,47.755
47.755,48.09
48.09,48.37
48.37,48.695
48.695,48.985
48.985,49.305
49.305,49.61
49.61,50.515
50.515,51.43
51.43,51.74
51.74,52.04
52.04,52.37
52.37,52.645
52.645,52.965
52.965,53.275
53.275,53.59
53.59,53.89
53.89,54.18
54.18,54.495
54.495,55.41
55.41,56.325
56.325,56.645
56.645,56.935
56.935,57.27
57.27,57.555
57.555,57.875
57.875,58.155
58.155,58.475
58.475,58.785
58.785,59.09
59.09,59.405
59.405,60.31
60.31,61.215
61.215,61.54
61.54,61.83
61.83,62.145
62.145,62.43
62.43,62.735
62.735,63.045
63.045,63.365
63.365,63.68
63.68,64.315
64.315,66.43
66.43,66.755
66.755,69.19
69.19,71.66
71.66,74.085
74.085,76.555
76.555,78.975
78.975,79.245
79.245,79.605
79.605,79.9
79.9,80.21
80.21,80.515
80.515,80.82
80.82,81.125
81.125,81.425
81.425,81.73
81.73,82.03
82.03,82.34
82.34,82.64
82.64,82.935
82.935,83.26
