 onsets, offsets
0.045,0.15
0.15,15.32
15.32,17.46
17.46,17.81
17.81,19.935
19.935,20.285
20.285,22.375
22.375,22.76
22.76,25.2
25.2,27.275
27.275,27.615
27.615,29.74
29.74,30.11
30.11,32.185
32.185,32.57
32.57,34.985
34.985,37.35
37.35,39.865
39.865,42.26
42.26,44.72
44.72,45.675
45.675,46.51
46.51,46.885
46.885,47.19
47.19,47.515
47.515,47.83
47.83,48.135
48.135,48.41
48.41,48.71
48.71,49.085
49.085,49.375
49.375,49.68
49.68,50.535
50.535,51.48
51.48,51.815
51.815,52.095
52.095,52.44
52.44,52.705
52.705,53.015
53.015,53.305
53.305,53.61
53.61,53.95
53.95,54.555
54.555,55.445
55.445,56.33
56.33,56.665
56.665,57.01
57.01,57.315
57.315,57.64
57.64,57.925
57.925,58.22
58.22,58.535
58.535,58.855
58.855,59.135
59.135,59.48
59.48,60.33
60.33,61.215
61.215,61.62
61.62,61.905
61.905,62.215
62.215,62.505
62.505,62.855
62.855,63.135
63.135,63.75
63.75,64.0
64.0,66.43
66.43,66.77
66.77,69.205
69.205,71.38
71.38,71.705
71.705,73.82
73.82,74.13
74.13,76.24
76.24,76.59
76.59,78.99
78.99,79.345
79.345,79.69
79.69,80.0
80.0,80.305
80.305,80.545
80.545,80.89
80.89,81.15
81.15,81.61
81.61,81.89
81.89,82.16
82.16,82.42
82.42,82.665
82.665,83.005
83.005,83.295
83.295,83.7
83.7,83.83
