 onsets, offsets
0.02,0.165
0.165,15.335
15.335,15.72
15.72,17.47
17.47,17.775
17.775,18.45
18.45,19.89
19.89,20.19
20.19,22.33
22.33,22.64
22.64,25.11
25.11,25.495
25.495,27.205
27.205,27.57
27.57,27.84
27.84,29.685
29.685,29.97
29.97,32.075
32.075,32.4
32.4,34.865
34.865,37.28
37.28,39.725
39.725,42.15
42.15,44.58
44.58,45.53
45.53,46.145
46.145,46.47
46.47,46.78
46.78,47.1
47.1,47.41
47.41,47.7
47.7,47.985
47.985,48.305
48.305,48.61
48.61,48.935
48.935,49.24
49.24,49.54
49.54,50.43
50.43,51.355
51.355,51.665
51.665,51.99
51.99,52.325
52.325,52.57
52.57,52.865
52.865,53.21
53.21,53.49
53.49,53.78
53.78,54.075
54.075,54.415
54.415,55.285
55.285,56.21
56.21,56.525
56.525,56.865
56.865,57.16
57.16,57.495
57.495,57.775
57.775,58.06
58.06,58.4
58.4,58.705
58.705,58.99
58.99,59.295
59.295,60.205
60.205,61.11
61.11,61.425
61.425,61.735
61.735,62.035
62.035,62.36
62.36,62.635
62.635,62.97
62.97,63.285
63.285,63.605
63.605,64.26
64.26,66.33
66.33,66.685
66.685,69.1
69.1,71.235
71.235,73.61
73.61,76.11
76.11,76.445
76.445,78.885
78.885,79.215
79.215,79.515
79.515,79.805
79.805,80.12
80.12,80.41
80.41,80.755
80.755,81.02
81.02,81.315
81.315,81.685
81.685,81.98
81.98,82.275
82.275,82.55
