4.99,,,4.992290249,5.178049887
5.28,,,5.282539683,5.479909297
5.55,,,5.549569161,5.746938776
5.835,,,5.828208617,6.025578231
6.12,,,6.11845805,6.304217687
6.405,,,6.397097506,6.571247166
6.665,,,6.664126984,6.861496599
6.93,,,6.931156463,7.1169161
7.21,,,7.209795918,7.407165533
7.495,,,7.500045351,7.685804989
7.76,,,7.755464853,7.952834467
8.06,,,8.057324263,8.254693878
8.335,,,8.335963719,8.544943311
8.63,,,8.626213152,8.800362812
8.9,,,8.904852608,9.090612245
9.16,,,9.160272109,9.334421769
9.435,,,9.438911565,9.624671202
9.725,,,9.71755102,9.926530612
9.995,,,9.996190476,10.18195011
10.28,,,10.27482993,10.47219955
10.565,,,10.56507937,10.750839
10.85,,,10.84371882,11.01786848
11.11,,,11.1107483,11.30811791
11.375,,,11.37777778,11.56353741
11.655,,,11.65641723,11.84217687
11.94,,,11.93505669,12.12081633
12.205,,,12.20208617,12.39945578
12.505,,,12.50394558,12.70131519
12.78,,,12.78258503,12.99156463
13.075,,,13.07283447,13.24698413
13.345,,,13.33986395,13.53723356
13.605,,,13.60689342,13.76943311
13.88,,,13.8739229,14.07129252
14.17,,,14.16417234,14.37315193
14.44,,,14.44281179,14.62857143
14.725,,,14.72145125,14.91882086
15.01,,,15.01170068,15.19746032
15.29,,,15.29034014,15.4644898
15.555,,,15.55736961,15.75473923
15.82,,,15.82439909,16.01015873
16.1,,,16.10303855,16.28879819
16.385,,,16.381678,16.56743764
16.65,,,16.64870748,16.8460771
16.95,,,16.95056689,17.14793651
17.225,,,17.22920635,17.43818594
17.52,,,17.51945578,17.69360544
17.79,,,17.78648526,17.98385488
18.045,,,18.04190476,18.21605442
18.33,,,18.3321542,18.51791383
18.605,,,18.59918367,18.81977324
18.89,,,18.88943311,19.11002268
19.185,,,19.17968254,19.43510204
19.735,,,19.73696145,19.94594104
20.005,,,20.00399093,20.18975057
20.29,,,20.29424036,20.50321995
20.565,,,20.56126984,20.75863946
20.84,,,20.8399093,21.04888889
21.105,,,21.0953288,21.32752834
21.395,,,21.39718821,21.64099773
21.95,,,21.94285714,22.14022676
22.215,,,22.20988662,22.41886621
22.5,,,22.50013605,22.69750567
22.77,,,22.76716553,22.97614512
23.065,,,23.06902494,23.25478458
23.315,,,23.31283447,23.4985941
23.605,,,23.6030839,23.80045351
23.895,,,23.89333333,24.07909297
24.18,,,24.18358277,24.3693424
24.445,,,24.45061224,24.63637188
24.725,,,24.7292517,24.91501134
24.99,,,24.99628118,25.18204082
25.29,,,25.28653061,25.4955102
25.545,,,25.54195011,25.72770975
25.84,,,25.84380952,26.01795918
26.105,,,26.110839,26.31981859
26.405,,,26.40108844,26.5752381
26.665,,,26.66811791,26.85387755
26.93,,,26.92353741,27.12090703
27.21,,,27.20217687,27.41115646
