onset dev,offset dev,,,,,
-0.002902494,0.026122453,,,,,
-0.010158735,0.03047619,,,,,
0.001451248,0.015963723,,,,,
-0.015963718,0.034829933,,,,,
-0.004353745,0.036281174,,,,,
-0.004353739,0.0246712,,,,,
-0.004353744,0.011609978,,,,,
-0.002902495,0.021768703,,,,,
-0.001451245,0.039183676,,,,,
-0.004353746,0.026122453,,,,,
-0.01306122,0.024671202,,,,,
-0.002902492,0.03047619,,,,,
-0.011609976,0.036281175,,,,,
-0.013061223,0.030476187,,,,,
-0.013061227,0.021768705,,,,,
-0.015963719,0.029024945,,,,,
-0.00580499,0.026122445,,,,,
-0.005804985,0.024671203,,,,,
-4.22E-09,0.02176871,,,,,
-0.002902496,0.029024947,,,,,
-0.00290249,0.027573698,,,,,
-0.008707483,0.030476187,,,,,
-0.002902493,0.029024939,,,,,
-0.010158734,0.023219953,,,,,
-0.014512468,0.015963716,,,,,
-0.007256235,0.014512474,,,,,
-0.014512477,0.026122445,,,,,
-0.010158731,0.027573699,,,,,
-0.013061227,0.01451247,,,,,
-0.013061221,0.030476188,,,,,
-0.002902491,0.034829932,,,,,
-0.018866212,0.027573695,,,,,
-0.004353742,0.023219954,,,,,
2.11E-09,0.024671205,,,,,
-0.005804985,0.029024945,,,,,
-0.008707486,0.033378685,,,,,
-0.010158733,0.017414964,,,,,
-4.76E-09,0.018866208,,,,,
-0.013061229,0.036281174,,,,,
-0.011609981,0.020317455,,,,,
0.001451247,0.01451247,,,,,
-0.002902497,0.017414969,,,,,
-0.013061226,0.031927442,,,,,
-0.00870748,0.021768705,,,,,
-0.00725624,0.021768709,,,,,
-0.008707479,0.017414964,,,,,
-0.008707483,0.033378682,,,,,
0.005804986,0.027573693,,,,,
-0.004353741,0.030476189,,,,,
-0.00580499,0.018866208,,,,,
4.08E-10,0.024671196,,,,,
-0.011609981,0.029024947,,,,,
-0.005804991,0.011609981,,,,,
-0.008707482,0.034829928,,,,,
-0.002902494,0.031927432,,,,,
-0.011609978,0.020317458,,,,,
-0.007256232,0.00435374,,,,,
-0.005804994,0.021768705,,,,,
-0.002902491,0.033378686,,,,,
-0.011609975,0.017414964,,,,,
-0.010158726,0.018866208,,,,,
-0.001451251,0.031927437,,,,,
-0.010158735,0.037732422,,,,,
-0.001451249,0.037732423,,,,,
-0.001451243,0.018866214,,,,,
-0.00725624,0.022494326,,,,,
-0.005804992,0.039909296,,,,,
-0.001451246,0.01959184,,,,,
-0.01015873,0.025396823,,,,,
-0.005804984,0.026122446,,,,,
-0.004353746,0.025396822,,,,,
-0.01306122,0.013061221,,,,,
-0.005804987,0.011609978,,,,,
-0.005804991,0,,,,,
-0.005804985,0,,,,,
-0.01015873,0,,,,,
-0.011609977,0,,,,,
-0.005804988,0,,,,,
-0.007256237,0,,,,,
-0.010158729,0,,,,,
-0.011609975,0,,,,,
-0.008707482,0,,,,,
-0.004353747,0,,,,,
-0.007256238,0,,,,,
-0.001451248,0,,,,,
8.16E-10,0,,,,,
-0.008707483,0,,,,,
-0.008707488,0,,,,,
-0.011609979,0,,,,,
0.004353744,0,,,,,
-0.011609978,0,,,,,
-0.008707484,0,,,,,
-0.005804991,0,,,,,
-0.00725624,0,,,,,
-0.010158732,0,,,,,
-0.001451246,0,,,,,
-0.002902493,0,,,,,
-0.005804984,0,,,,,
-0.011609981,0,,,,,
-0.002902496,0,,,,,
-0.004353742,0,,,,,
-0.010158731,0,,,,,
-0.008707483,0,,,,,
-0.007256234,0,,,,,
,,,,,0.01160998,1.028934243
,,,,,,
,,,,,0.01160998,1.028934243
