IEC onsets,IEC offsets
4.992290249433107,5.178049886621316
5.282539682539682,5.479909297052155
5.5495691609977325,5.746938775510204
5.828208616780046,6.025578231292517
6.1184580498866215,6.30421768707483
6.397097505668934,6.5712471655328795
6.664126984126984,6.861496598639456
6.931156462585034,7.116916099773243
7.209795918367347,7.4071655328798185
7.500045351473923,7.685804988662132
7.75546485260771,7.952834467120182
8.057324263038549,8.25469387755102
8.335963718820862,8.544943310657596
8.626213151927438,8.800362811791382
8.904852607709751,9.09061224489796
9.160272108843538,9.334421768707482
9.438911564625851,9.624671201814058
9.717551020408163,9.926530612244898
9.996190476190476,10.181950113378685
10.27482993197279,10.47219954648526
10.565079365079365,10.750839002267574
10.843718820861678,11.017868480725623
11.110748299319727,11.3081179138322
11.377777777777778,11.563537414965987
11.656417233560092,11.842176870748299
11.935056689342403,12.120816326530612
12.202086167800454,12.399455782312925
12.503945578231292,12.701315192743763
12.782585034013605,12.99156462585034
13.072834467120181,13.246984126984128
13.339863945578232,13.537233560090703
13.606893424036281,13.769433106575963
13.87392290249433,14.071292517006803
14.164172335600908,14.373151927437641
14.44281179138322,14.628571428571428
14.721451247165533,14.918820861678004
15.011700680272108,15.197460317460317
15.290340136054422,15.464489795918368
15.557369614512472,15.754739229024944
15.824399092970522,16.01015873015873
16.103038548752835,16.288798185941044
16.381678004535146,16.567437641723355
16.648707482993196,16.84607709750567
16.950566893424035,17.147936507936507
17.22920634920635,17.438185941043084
17.519455782312924,17.69360544217687
17.786485260770974,17.98385487528345
18.04190476190476,18.216054421768707
18.332154195011338,18.517913832199547
18.599183673469387,18.819773242630387
18.889433106575964,19.11002267573696
19.17968253968254,19.435102040816325
19.736961451247165,19.9459410430839
20.003990929705214,20.189750566893423
20.29424036281179,20.503219954648525
20.56126984126984,20.758639455782312
20.839909297052156,21.04888888888889
21.095328798185943,21.3275283446712
21.39718820861678,21.640997732426303
21.942857142857143,22.140226757369614
22.209886621315192,22.418866213151926
22.50013605442177,22.69750566893424
22.76716553287982,22.976145124716552
23.06902494331066,23.254784580498868
23.312834467120183,23.49859410430839
23.603083900226757,23.800453514739228
23.893333333333334,24.079092970521543
24.18358276643991,24.369342403628117
24.450612244897957,24.636371882086166
24.729251700680273,24.91501133786848
24.99628117913832,25.18204081632653
25.2865306122449,25.495510204081633
25.541950113378686,25.727709750566895
25.843809523809522,26.01795918367347
26.110839002267575,26.31981859410431
26.40108843537415,26.575238095238095
26.668117913832198,26.853877551020407
26.923537414965985,27.12090702947846
27.2021768707483,27.411156462585033
27.50403628117914,27.68979591836735
27.759455782312926,27.96843537414966
28.061315192743763,28.31673469387755
28.606984126984127,28.792743764172336
28.88562358276644,29.082993197278913
29.164263038548754,29.326802721088434
29.431292517006803,29.628662131519274
29.72154195011338,29.90730158730159
29.98857142857143,30.1859410430839
30.25560090702948,30.499410430839003
30.847709750566892,31.02185941043084
31.10312925170068,31.312108843537416
31.381768707482994,31.590748299319728
31.672018140589568,31.857777777777777
31.950657596371883,32.14802721088435
32.21768707482993,32.40344671201814
32.496326530612244,32.69369614512472
32.774965986394555,33.00716553287982
33.065215419501136,33.23936507936508
33.32063492063492,33.52961451247165
33.6108843537415,33.7966439909297
33.90113378684807,34.07528344671202
34.17977324263038,34.365532879818595
34.43519274376417,34.632562358276644
34.72544217687075,34.911201814058956
34.9924716553288,35.18984126984127
