onset,muted,offset,
66.6644898,Y,66.87346939,
66.96634921,Y,67.19854875,
67.23337868,Y,67.44235828,
67.52362812,Y,67.74421769,
67.76743764,Y,67.97641723,
68.05768707,Y,68.26666667,
68.33632653,Y,68.54530612,
68.61496599,Y,68.82394558,
68.88199546,Y,69.07936508,
69.18385488,Y,69.38122449,
69.45088435,Y,69.67147392,
69.72952381,Y,69.97333333,
69.99655329,Y,70.20553288,
70.27519274,Y,70.49578231,
70.56544218,Y,70.79764172,
70.84408163,Y,71.05306122,
71.11111111,Y,71.33170068,
71.37814059,Y,71.5755102,
71.65678005,Y,71.90058957,
71.95863946,Y,72.16761905,
72.22566893,Y,72.4462585,
72.50430839,Y,72.78294785,
73.03836735,Y,73.27056689,
73.34022676,Y,73.53759637,
73.60725624,Y,73.80462585,
73.88589569,Y,74.12970522,
74.17614512,Y,74.38512472,
74.4431746,Y,74.6521542,
74.72181406,Y,75.00045351,
75.26748299,Y,75.47646259,
75.54612245,Y,75.74349206,
75.84798186,Y,76.06857143,
76.11501134,Y,76.33560091,
76.41687075,Y,76.62585034,
76.66068027,Y,76.85804989,
76.95092971,Y,77.1599093,
77.21795918,Y,77.4153288,
77.50820862,Y,77.71718821,
77.7752381,Y,77.98421769,
78.05387755,Y,78.2860771,
78.32090703,Y,78.5414966,
78.63437642,Y,78.85496599,
78.91301587,Y,79.08716553,
79.16843537,Y,79.37741497,
79.44707483,Y,79.64444444,
79.74893424,Y,79.94630385,
80.00435374,Y,80.21333333,
80.2829932,Y,80.49197279,
80.55002268,Y,80.74739229,
80.84027211,Y,81.06086168,
81.09569161,Y,81.3046712,
81.39755102,Y,81.59492063,
81.6645805,Y,81.90839002,
81.96643991,Y,82.16380952,
82.23346939,Y,82.41922902,
82.50049887,Y,82.72108844,
82.77913832,Y,82.98811791,
83.05777778,Y,83.28997732,
83.32480726,Y,83.54539683,
83.61505669,Y,83.8124263,
83.89369615,Y,84.10267574,
84.16072562,Y,84.35809524,
84.43936508,Y,84.63673469,
84.71800454,Y,84.9385941,
84.99664399,Y,85.19401361,
85.27528345,Y,85.49587302,
85.56553288,Y,85.73968254,
85.83256236,Y,86.04154195,
