onset dev,offset dev
-3.1519231669108194e-10,-4.784581619787787e-10
1.7006795971497013e-10,-4.5351455923992035e-10
-1.836735208371465e-10,1.1111112030448567e-10
-4.0589487326769813e-10,-2.4716495516940995e-10
2.403623966529267e-10,4.263034369955676e-10
4.01360722435129e-10,-2.8117952410866565e-10
2.0861712357600481e-10,2.0408208456501598e-10
-0.0031746034693878045,3.650795221687986e-10
3.673479298527127e-10,-3.67347041674293e-10
-1.4739232057081608e-10,3.310667295863823e-10
1.3605117032966518e-11,4.376410345230397e-10
4.671196762728869e-10,-4.9887205477716634e-11
-3.9909409110805427e-10,2.4489743566391553e-10
8.616574120878795e-11,-4.784579843430947e-09
-4.01360722435129e-10,1.5872991809828818e-10
-1.2698411211431448e-09,4.444444812179427e-09
4.376417450657755e-09,0.007981859410429948
2.2675195054944197e-11,-4.104308004571067e-09
4.2857148940811385e-09,2.3809523241880015e-09
-6.802736152167199e-11,-2.6757369653296337e-09
-9.070308948366801e-10,-2.653063546631529e-09
3.90022769636289e-09,3.129251524569554e-09
2.222220629732874e-09,-2.3582771291330573e-09
1.3832188727747052e-09,-2.0634942643482646e-09
-2.1315180731562577e-09,-1.768707846849793e-09
-2.970521606471266e-09,-4.149658394680955e-09
1.5872814174144878e-10,1.3605472304334398e-10
1.292516316198089e-09,3.809525139786274e-09
-2.2222224060897133e-09,-4.897959371419347e-09
-3.8548719771824835e-10,1.5872991809828818e-09
4.421767840767643e-09,7.482974240247131e-10
6.802736152167199e-11,3.0158737729379936e-09
-1.6099761523946654e-09,-4.285713117724299e-09
-2.2676971411783597e-11,-1.1791385645665287e-09
-4.376417450657755e-09,3.33333360913457e-09
-5.215419207615923e-09,3.6281164739193628e-09
-4.0816416913003195e-10,-3.401360970656242e-09
-2.0861676830463693e-09,1.5419487908729934e-09
-2.925169440004538e-09,-4.172335366092739e-09
-3.764171196962707e-09,7.936513668482803e-10
-4.6031729539208754e-09,-2.7210838027258433e-09
-4.149661947394634e-09,-3.5600891123976908e-09
-0.0030158730158724723,-1.292516316198089e-09
3.469388332177914e-09,1.4058976205433282e-09
-2.0181403215246974e-09,-5.487528653702611e-09
1.1337775163156039e-10,-9.750564800015127e-10
-4.240362727614411e-09,-6.802736152167199e-10
4.081634585872962e-09,2.2902497676113853e-09
-4.3310635078341875e-09,-2.7664341928357317e-09
1.3151932876098726e-09,1.5192753721748886e-09
4.761879779380251e-10,-3.514742275001481e-09
-4.716554258266115e-09,2.9705233828281052e-09
3.605443055221258e-09,2.1315216258699365e-09
2.7664377455494105e-09,4.3990908693558595e-09
1.9274395413049206e-09,-2.9024960213064332e-09
1.088434231633073e-09,2.0408208456501598e-10
1.5419487908729934e-09,-5.283446569137595e-09
2.6757369653296337e-09,-4.988663704352803e-09
-8.390017569581687e-10,-2.0181403215246974e-09
3.67347041674293e-09,2.9251765454318956e-09
-4.1950087847908435e-09,-2.789114716961194e-09
1.451240905225859e-09,2.176868463266146e-09
-2.2675550326312077e-10,-1.3378667063079774e-09
1.3605472304334398e-09,-2.176868463266146e-09
-2.99319680152621e-09,9.070078021977679e-11
-3.832198558484379e-09,2.789114716961194e-09
9.750564800015127e-10,-4.104308004571067e-09
-7.029470339148247e-10,4.0816416913003195e-10
-1.5419487908729934e-09,-3.94557275740226e-09
-2.3809576532585197e-09,3.67347041674293e-09
-3.219952304789331e-09,-4.62584637261898e-09
-2.7664412982630893e-09,-8.163283382600639e-10
-1.6326495710927702e-09,-4.331070613261545e-09
-5.147391846094251e-09,-4.036280643049395e-09
-6.349267778205103e-10,4.149661947394634e-09
1.4966019534767838e-09,6.349196723931527e-10
-2.857142078482866e-09,4.444444812179427e-09
-4.5351455923992035e-09,-1.7460308754380094e-09
-2.947842858702643e-09,-7.483009767383919e-10
2.6984139367414173e-09,-1.8594121797832486e-09
1.8594121797832486e-09,3.809525139786274e-09
-3.33333360913457e-09,-3.9228993387041555e-09
-5.011337123050907e-09,1.7233574567399046e-09
-3.1746054673931212e-09,4.126988528696529e-09
3.3106530850091076e-09,1.746037980865367e-09
2.4716584334782965e-09,-6.349267778205103e-10
2.925169440004538e-09,1.0657572602212895e-09
4.0589540617474995e-09,-6.122462536950479e-10
5.442188921733759e-10,-2.99319680152621e-09
-2.2675763489132805e-09,-1.5872814174144878e-10
2.5396857949999685e-09,-3.67347041674293e-09
8.616751756562735e-10,2.811788135659299e-09
-5.3288005119611626e-09,-3.378687551958137e-09
1.1564651458684239e-09,2.267569243485923e-09
-2.3582771291330573e-09,-8.163283382600639e-10
-4.875282400007563e-09,2.176868463266146e-09
7.709743954364967e-10,4.444444812179427e-09
-2.7437678795649845e-09,2.063487158920907e-09
-3.5827625310957956e-09,2.494338957603759e-09
2.9024960213064332e-09,-2.5623521082707157e-09
3.8549075043192715e-10,3.786851721088169e-09
-3.968253281527723e-09,-2.403623966529267e-09
-1.8367316556577862e-09,0.0
-4.35374403195965e-09,0.0
1.2925198689117678e-09,0.0
-3.061224163047882e-09,0.0
7.483009767383919e-10,0.0
9.070220130524831e-10,0.0
-3.446714913479809e-09,0.0
3.0385507443497772e-09,0.0
1.3605472304334398e-09,0.0
8.163283382600639e-10,0.0
3.7868446156608115e-09,0.0
2.947842858702643e-09,0.0
2.108841101744474e-09,0.0
-1.4058940678296494e-09,0.0
-1.2471659260882006e-09,0.0
-3.6281164739193628e-09,0.0
-3.469388332177914e-09,0.0
-1.3378667063079774e-09,0.0
-3.4012970218100236e-10,0.0
-2.0181403215246974e-09,0.0
1.7913848182615766e-09,0.0
-3.4013680760835996e-09,0.0
-2.2675763489132805e-09,0.0
-3.1065781058714492e-09,0.0
-3.945579862829618e-09,0.0
